disease,sex_neuter,level,exposure_n,case_n,risk,baseline_risk,total_cases,total_n,risk_ratio,rr_ci_low,rr_ci_high
acute gastroenteritis,male_neutered,new,22,4,0.18181818181818182,0.17054263565891473,22,129,1.0661157024793388,0.26533787844639767,2.0477353896103887
acute gastroenteritis,male_neutered,waxing,41,11,0.2682926829268293,0.17054263565891473,22,129,1.5731707317073171,0.9772727272727272,2.2634907120743013
acute gastroenteritis,male_neutered,full,20,2,0.1,0.17054263565891473,22,129,0.5863636363636364,0.0,1.4227941176470587
acute gastroenteritis,male_neutered,waning,46,5,0.10869565217391304,0.17054263565891473,22,129,0.6373517786561265,0.1580737583494936,1.128362359981586
acute pancreatitis,female_intact,new,4,1,0.25,0.3076923076923077,12,39,0.8125,0.0,2.6
acute pancreatitis,female_intact,waxing,11,3,0.2727272727272727,0.3076923076923077,12,39,0.8863636363636362,0.0,1.7333333333333334
acute pancreatitis,female_intact,full,2,0,0.0,0.3076923076923077,12,39,0.0,0.0,0.0
acute pancreatitis,female_intact,waning,22,8,0.36363636363636365,0.3076923076923077,12,39,1.1818181818181819,0.7499281609195403,1.6667857142857136
acute pancreatitis,female_neutered,new,12,5,0.4166666666666667,0.43157894736842106,41,95,0.9654471544715447,0.3391369047619048,1.6227023278653712
acute pancreatitis,female_neutered,waxing,36,16,0.4444444444444444,0.43157894736842106,41,95,1.0298102981029809,0.7145848255050188,1.3571428571428572
acute pancreatitis,female_neutered,full,11,3,0.2727272727272727,0.43157894736842106,41,95,0.6319290465631928,0.0,1.2418300653594772
acute pancreatitis,female_neutered,waning,36,17,0.4722222222222222,0.43157894736842106,41,95,1.0941734417344173,0.7947158395329128,1.402609427609427
acute pancreatitis,male_intact,new,7,2,0.2857142857142857,0.21568627450980393,11,51,1.3246753246753245,0.0,3.1875
acute pancreatitis,male_intact,waxing,20,3,0.15,0.21568627450980393,11,51,0.6954545454545454,0.0,1.390999644886363
acute pancreatitis,male_intact,full,5,0,0.0,0.21568627450980393,11,51,0.0,0.0,0.0
acute pancreatitis,male_intact,waning,19,6,0.3157894736842105,0.21568627450980393,11,51,1.464114832535885,0.7668693609022554,2.318181818181818
acute pancreatitis,male_neutered,new,22,7,0.3181818181818182,0.46511627906976744,60,129,0.6840909090909091,0.2819441765777349,1.091173427851755
acute pancreatitis,male_neutered,waxing,41,17,0.4146341463414634,0.46511627906976744,60,129,0.8914634146341464,0.6047547372685056,1.1632628563012004
acute pancreatitis,male_neutered,full,20,11,0.55,0.46511627906976744,60,129,1.1825,0.7405967374988273,1.6681394297997678
acute pancreatitis,male_neutered,waning,46,25,0.5434782608695652,0.46511627906976744,60,129,1.1684782608695652,0.9095694444444444,1.4382755730547325
parvovirus enteritis,female_intact,new,4,3,0.75,0.3333333333333333,13,39,2.25,0.0,4.333333333333333
parvovirus enteritis,female_intact,waxing,11,2,0.18181818181818182,0.3333333333333333,13,39,0.5454545454545455,0.0,1.2747899159663851
parvovirus enteritis,female_intact,full,2,0,0.0,0.3333333333333333,13,39,0.0,0.0,0.0
parvovirus enteritis,female_intact,waning,22,8,0.36363636363636365,0.3333333333333333,13,39,1.090909090909091,0.6782608695652175,1.5194805194805194
parvovirus enteritis,female_neutered,new,12,0,0.0,0.031578947368421054,3,95,0.0,0.0,0.0
parvovirus enteritis,female_neutered,waxing,36,3,0.08333333333333333,0.031578947368421054,3,95,2.638888888888889,2.111111111111111,3.518518518518518
parvovirus enteritis,female_neutered,full,11,0,0.0,0.031578947368421054,3,95,0.0,0.0,0.0
parvovirus enteritis,female_neutered,waning,36,0,0.0,0.031578947368421054,3,95,0.0,0.0,0.0
parvovirus enteritis,male_intact,new,7,2,0.2857142857142857,0.37254901960784315,19,51,0.7669172932330827,0.0,1.7
parvovirus enteritis,male_intact,waxing,20,9,0.45,0.37254901960784315,19,51,1.2078947368421054,0.7456140350877193,1.6878124999999984
parvovirus enteritis,male_intact,full,5,2,0.4,0.37254901960784315,19,51,1.0736842105263158,0.0,2.6842105263157894
parvovirus enteritis,male_intact,waning,19,6,0.3157894736842105,0.37254901960784315,19,51,0.8476454293628808,0.36412593984962405,1.3421052631578945
parvovirus enteritis,male_neutered,new,22,0,0.0,0.03875968992248062,5,129,0.0,0.0,0.0
parvovirus enteritis,male_neutered,waxing,41,1,0.024390243902439025,0.03875968992248062,5,129,0.6292682926829268,0.0,2.0476190476190474
parvovirus enteritis,male_neutered,full,20,3,0.15,0.03875968992248062,5,129,3.87,0.0,7.588235294117648
parvovirus enteritis,male_neutered,waning,46,1,0.021739130434782608,0.03875968992248062,5,129,0.5608695652173913,0.0,1.866961255656107
