outcome_class,feature,coef,odds_ratio,ci95_low,ci95_high,direction,abs_log_or
acute pancreatitis,surface_pressure_max__day1,0.2542876963359709,1.2895427476292936,0.9105986406309078,1.907091574067106,positive,0.25428769633597087
acute pancreatitis,wind_gusts_10m_max__peak_14d,-0.24852366757608385,0.7799514010575582,0.5183816407372906,1.0559811909911387,negative,0.24852366757608385
acute pancreatitis,wind_gusts_10m_max__mean_13d,0.212270270133053,1.2364820240837395,0.8265740409507941,1.8476390119621653,positive,0.21227027013305294
acute pancreatitis,surface_pressure_max__mean_13d,-0.16888646675475014,0.8446047886654586,0.5911539054531293,1.2183999804922325,negative,0.16888646675475014
acute pancreatitis,moon_phase_sin,-0.14669316491554107,0.8635589069395506,0.6687687581567464,1.0649851707578208,negative,0.14669316491554107
acute pancreatitis,wind_direction_10m_dominant__mean_13d,-0.1390765727570612,0.8701613952500175,0.5645745845339857,1.3358537108364454,negative,0.13907657275706115
acute pancreatitis,precipitation_sum__mean_13d,-0.1313286258018422,0.8769295453588865,0.6885572116731036,1.1623674000628954,negative,0.13132862580184215
acute pancreatitis,daylight_duration__day1,0.0805243372347942,1.0838552243603472,0.8632196021183924,1.4209766220107416,positive,0.0805243372347941
acute pancreatitis,wind_direction_10m_dominant__day1,0.05869983822328294,1.0604568843408024,0.831301812660222,1.3899373361233884,positive,0.05869983822328292
acute pancreatitis,moon_phase_cos,-0.04345766690991428,0.9574730860274453,0.7773167493039933,1.2195202952177318,negative,0.04345766690991424
acute pancreatitis,wind_gusts_10m_max__day1,-0.011361945473780902,0.9887023576620404,0.733850058406322,1.2686230243506273,negative,0.01136194547378089
acute pancreatitis,wind_direction_10m_dominant__mean_7d,-0.0002904335076564018,0.999709608664072,0.6318484833585969,1.5158339755537698,negative,0.00029043350765640025
parvovirus enteritis,wind_direction_10m_dominant__mean_13d,-0.7871406048190692,0.45514437402200797,0.20532822275946233,0.9174253777057751,negative,0.7871406048190692
parvovirus enteritis,wind_direction_10m_dominant__mean_7d,0.7302765745257196,2.0756546014813937,1.0813870768430975,4.405384990057785,positive,0.7302765745257196
parvovirus enteritis,surface_pressure_max__day1,-0.4061357038805406,0.6662197526844774,0.34671914114850905,1.3072355613138757,negative,0.40613570388054065
parvovirus enteritis,daylight_duration__day1,-0.32925530938149267,0.7194593085857806,0.4613527858158325,1.047321423385942,negative,0.3292553093814927
parvovirus enteritis,wind_gusts_10m_max__peak_14d,0.26793961928603,1.3072682038443504,0.8261247994119545,2.2741245955837672,positive,0.26793961928602994
parvovirus enteritis,wind_gusts_10m_max__day1,0.24155446524855853,1.2732267996431847,0.8097516238825927,2.0094679166238003,positive,0.24155446524855853
parvovirus enteritis,moon_phase_cos,-0.06390016441404764,0.938098650484255,0.5876748374917219,1.3517067663282645,negative,0.06390016441404764
parvovirus enteritis,wind_gusts_10m_max__mean_13d,0.04868452490188804,1.0498890846276914,0.5804657829150162,1.862599849095043,positive,0.04868452490188808
parvovirus enteritis,surface_pressure_max__mean_13d,-0.02736299920572723,0.9730079762881569,0.5607907533567815,1.6203331921522797,negative,0.02736299920572725
parvovirus enteritis,precipitation_sum__mean_13d,-0.023461356176439414,0.9768117216793192,0.6489773175591035,1.517033578345499,negative,0.023461356176439435
parvovirus enteritis,moon_phase_sin,0.01807222337634215,1.0182365142131582,0.7001829977346473,1.4484035523871797,positive,0.01807222337634216
parvovirus enteritis,wind_direction_10m_dominant__day1,0.012506934952551304,1.0125854737484996,0.644415687242046,1.7269705473720331,positive,0.012506934952551318
